ablated_feature,remaining_features,mean_consensus_score,median_consensus_score,min_consensus_score,max_consensus_score,accepted_count,accepted_percentage
entropy,"geometry, diversity, persistence",0.7122416373118861,0.9713743193454374,0.4285714285714286,0.9799073330286185,74,52.4822695035461
geometry,"entropy, diversity, persistence",0.367238599457134,0.6095378554004323,0.0,0.8083596044471228,72,51.06382978723404
persistence,"entropy, geometry, diversity",0.5553169639556215,0.6364222162468531,0.348194753944269,0.8102335631842856,73,51.77304964539007
diversity,"entropy, geometry, persistence",0.5555036143553718,0.6364222162468531,0.37499999999999994,0.8102335631842856,72,51.06382978723404
