timestamp,cone_type,confidence,global_x,global_y,cluster_id,cluster_observation_count,cluster_centroid_global_x,cluster_centroid_global_y,distance_to_cluster_centroid,nearest_real_observation_distance,real_observations_in_cluster,ghost_observations_in_cluster,unique_timestamps_in_cluster,cluster_time_span,ghost_relative_time_position
1.7,right,0.3,31.63188531282357,10.22927770335522,7,144,31.600464512278563,10.7270620907357,0.4987750625549053,0.1712944668364717,142,2,142,119.9,0.014178482068390324
22.8,right,0.27,-28.55423837845114,12.490637221555982,27,129,-27.95135909084218,13.808684480395426,1.4493833212653098,0.8272331047299124,128,1,128,66.3,0.09200603318250379
44.1,unknown,0.46,12.037555267619837,-19.410217915963823,57,117,12.494806404293852,-20.186284673365336,0.9007542472469263,0.4818182557908532,116,1,116,65.7,0.024353120243531222
64.4,unknown,0.36,30.955794662746932,10.933174532291853,7,144,31.600464512278563,10.7270620907357,0.6768172230812204,0.33660597159656075,142,2,142,119.9,0.5371142618849041
67.6,unknown,0.29,21.117100373905966,24.22474477936944,12,133,21.752935982507957,24.689265921911595,0.7874432125778539,0.4036349697367505,132,1,132,66.5,0.9669172932330826
71.7,unknown,0.48,-1.2357419381947288,28.46897052114822,18,108,0.013838091188125581,28.52639465582681,1.2508987893015326,0.7245028119655677,106,2,106,65.2,0.9493865030674847
72.3,left,0.3,-0.10000136554487815,29.7121185130484,18,108,0.013838091188125581,28.52639465582681,1.1911760942420349,0.6199345714512147,106,2,106,65.2,0.9585889570552146
75.5,left,0.45,-6.6172694840399995,21.91102133628,19,117,-6.367344034395271,21.165109922500612,0.7866680161201971,0.33863651791557947,116,1,116,65.69999999999999,0.9832572298325724
80.0,unknown,0.36,-33.13355370867706,18.898933143745396,29,113,-33.30628897248613,18.31153483662784,0.6122697465723413,0.21018365053907503,112,1,112,65.5,0.9465648854961832
82.1,right,0.31,-33.80123381448044,9.09729910889448,30,155,-34.28231221912804,7.3704624271048775,1.7925962615693485,1.3472374920276897,152,3,152,67.5,0.9362962962962962
82.8,right,0.37,-34.72845348551783,8.915047086813265,30,155,-34.28231221912804,7.3704624271048775,1.6077262828548788,1.1754547357105374,152,3,152,67.5,0.9466666666666667
84.9,unknown,0.46,-34.568699496703545,8.473670938225245,30,155,-34.28231221912804,7.3704624271048775,1.1397748425744134,0.7265067292757937,152,3,152,67.5,0.9777777777777777
109.0,left,0.54,23.633726279911386,-16.274372682171318,61,121,23.45555686543387,-16.494408050482843,0.2831252435994522,0.031423449270731485,120,1,120,65.9,0.9635811836115326
113.3,unknown,0.41,42.87963236452353,-5.338365755168771,70,139,42.82646831112081,-4.942810914497826,0.3991115740647266,0.07109966017150177,138,1,138,66.80000000000001,0.9236526946107783
