cluster_id,global_x,global_y,observation_count,real_observations,ghost_observations,ghost_fraction,mean_confidence,first_timestamp,last_timestamp,unique_frames
0,43.490018243019215,0.003927878840131002,150,150,0,0.0,0.8772666666666665,0.0,119.9,150
1,42.83691613558737,4.96385858213773,162,162,0,0.0,0.8753703703703704,0.0,119.9,162
2,40.87513327585185,9.780084858683495,176,176,0,0.0,0.8711931818181817,0.0,119.9,176
3,37.66439298386593,14.254398247858182,166,166,0,0.0,0.8675301204819277,0.0,119.9,166
4,33.338957418771365,18.30534265402719,162,162,0,0.0,0.8696296296296298,0.0,119.9,162
5,35.92634325626052,3.744812709713628,162,162,0,0.0,0.8694444444444445,0.0,119.9,162
6,34.3231538712497,7.350190743463501,152,152,0,0.0,0.8778947368421053,0.0,119.9,152
7,31.600464512278563,10.7270620907357,144,142,2,0.013888888888888888,0.8606944444444444,0.0,119.9,142
8,27.935843429755035,13.820724255538094,138,138,0,0.0,0.878840579710145,0.1,66.9,138
9,27.95603288275259,21.820969616714343,162,162,0,0.0,0.8735185185185185,0.1,68.1,162
10,23.480681141561266,16.43865216483272,138,138,0,0.0,0.8692028985507246,1.7,68.5,138
11,18.24765030167544,18.584338767464573,140,140,0,0.0,0.8836428571428573,3.2,70.1,140
12,21.752935982507957,24.689265921911595,133,132,1,0.007518796992481203,0.8753383458646616,3.3,69.8,132
13,12.464032735733207,20.185860834668212,142,142,0,0.0,0.8797183098591549,4.7,71.7,142
14,14.844043491973089,26.75998469916108,116,116,0,0.0,0.8718965517241378,5.8,71.5,116
15,6.33751299146726,21.163418665084556,130,130,0,0.0,0.8877692307692309,6.9,73.3,130
16,7.540013916587638,28.058062253156024,108,108,0,0.0,0.8744444444444445,7.9,73.2,108
17,-0.00583523786192015,21.496605896405022,122,122,0,0.0,0.8797540983606558,9.0,75.0,122
18,0.013838091188125581,28.52639465582681,108,106,2,0.018518518518518517,0.8647222222222225,9.8,75.0,106
19,-6.367344034395271,21.165109922500612,117,116,1,0.008547008547008548,0.875897435897436,10.9,76.6,116
20,-7.557216417924284,28.060346738164696,104,104,0,0.0,0.8702884615384616,11.6,76.7,104
21,-12.467883363826001,20.184119617380965,116,116,0,0.0,0.8786206896551725,12.5,78.2,116
22,-14.872500259185854,26.80406585585898,102,102,0,0.0,0.8822549019607842,13.4,78.4,102
23,-18.266826964919176,18.615591116059143,118,118,0,0.0,0.8779661016949152,14.0,79.8,118
24,-21.759415232713216,24.647260647883048,104,104,0,0.0,0.8713461538461539,15.0,80.1,104
25,-23.46848922951251,16.458122023273017,120,120,0,0.0,0.8694166666666666,15.5,81.4,120
26,-27.967216292245507,21.780698894104386,108,108,0,0.0,0.8871296296296298,16.5,81.8,108
27,-27.95135909084218,13.808684480395426,129,128,1,0.007751937984496124,0.8739534883720931,16.7,83.0,128
28,-31.61289317890032,10.751797647991657,138,138,0,0.0,0.8730434782608696,17.9,84.7,138
29,-33.30628897248613,18.31153483662784,113,112,1,0.008849557522123894,0.8737168141592919,18.0,83.5,112
30,-34.28231221912804,7.3704624271048775,155,152,3,0.01935483870967742,0.872258064516129,18.9,86.4,152
31,-37.67181433415548,14.268051139693494,120,120,0,0.0,0.8753333333333333,19.3,85.2,120
32,-35.95766150066811,3.724092023119819,170,170,0,0.0,0.8815882352941177,19.7,88.1,170
33,-40.88700044032803,9.738909892140548,128,128,0,0.0,0.87421875,20.5,86.8,128
34,-42.83993634075898,4.926585180887723,138,138,0,0.0,0.8783333333333334,21.6,88.4,138
35,-36.492698815907154,0.002995921719732349,168,168,0,0.0,0.8731547619047619,21.7,90.0,168
36,-43.4949669706308,0.023979187198745106,150,150,0,0.0,0.8703333333333332,22.6,90.0,150
37,-42.828970501601674,-4.940900296630348,162,162,0,0.0,0.8767901234567901,23.5,91.5,162
38,-35.94484004427021,-3.7436567664377973,162,162,0,0.0,0.8793209876543209,23.8,91.8,162
39,-40.88762210942426,-9.749646743023078,176,176,0,0.0,0.8769886363636363,24.4,93.1,176
40,-34.31398226197718,-7.365722975743217,152,152,0,0.0,0.8719078947368422,26.0,93.5,152
41,-37.68857788151191,-14.245886138522923,166,166,0,0.0,0.8801807228915661,26.5,94.7,166
42,-31.62757377054106,-10.749891714640812,142,142,0,0.0,0.8802816901408451,28.2,95.2,142
43,-33.35248782616908,-18.32880747570261,162,162,0,0.0,0.8808641975308641,28.4,96.4,162
44,-27.960643875964102,-13.815751446630154,138,138,0,0.0,0.8769565217391304,30.1,96.9,138
45,-27.942178530837722,-21.822449037333296,162,162,0,0.0,0.8819753086419753,30.1,98.1,162
46,-23.48208235165706,-16.45849476612445,138,138,0,0.0,0.8692753623188406,31.7,98.5,138
47,-18.25989225701741,-18.620385841897917,140,140,0,0.0,0.8757142857142858,33.2,100.1,140
48,-21.788968761781312,-24.686990489181202,132,132,0,0.0,0.881060606060606,33.3,99.8,132
49,-12.47020576115296,-20.21011051867986,142,142,0,0.0,0.8780985915492958,34.7,101.7,142
50,-14.925818114796604,-26.751936994846602,116,116,0,0.0,0.8814655172413793,35.8,101.5,116
51,-6.311144895821292,-21.16258730593621,130,130,0,0.0,0.8656153846153847,36.9,103.3,130
52,-7.542791602365188,-28.081232471259725,108,108,0,0.0,0.8837037037037035,37.9,103.2,108
53,0.00235781986043632,-21.502754747068703,122,122,0,0.0,0.8738524590163934,39.0,105.0,122
54,-0.021360371195556276,-28.529465010777532,106,106,0,0.0,0.8744339622641509,39.8,105.0,106
55,6.317200877993591,-21.177450399883558,116,116,0,0.0,0.8932758620689656,40.9,106.6,116
