candidate_id,observation_count,num_unique_timestamps,max_baseline_m,mean_pairwise_baseline_m,median_pairwise_baseline_m,min_pairwise_baseline_m,viewpoint_diversity
0,150,150,20.89041179584548,7.268304403772163,6.445936704622535,0.0,1.0
1,162,162,21.3732734975249,7.478902910202617,6.6397476608678465,0.0,1.0
2,176,176,22.287604559485526,7.855422164286392,7.047199872758785,0.0,1.0
3,166,166,20.877974279129667,7.340824273221126,6.549597010503776,0.0,1.0
4,162,162,21.295343810326237,7.453629616996479,6.6120094525038295,0.0,1.0
5,162,162,21.14816540506528,7.405725653182319,6.573708846610109,0.0,1.0
6,152,152,19.143764781254493,6.705162393932178,6.007897885284004,0.0,1.0
7,144,142,18.351955536127473,6.402504929152763,5.726814908830213,0.0,1.0
8,138,138,19.095168944002562,6.634038264210606,5.869498104608265,0.0,1.0
9,162,162,22.92184977265142,7.985680929508202,7.071018314217548,0.0,1.0
10,1,1,0.0,0.0,0.0,0.0,0.0
11,1,1,0.0,0.0,0.0,0.0,0.0
12,138,138,20.653281313147314,7.153481069242773,6.320569990119564,0.0,1.0
13,1,1,0.0,0.0,0.0,0.0,0.0
14,140,140,22.64603022606832,7.82708939317349,6.908612595883489,0.0,1.0
15,133,132,21.281598906097255,7.353202914248432,6.487837313003462,0.0,1.0
16,142,142,24.65875236097723,8.510036813389478,7.490050066588337,0.0,1.0
17,1,1,0.0,0.0,0.0,0.0,0.0
18,116,116,20.614516850996043,7.1126941009152675,6.259336706073574,0.0,1.0
19,130,130,24.300811200451722,8.374725005108768,7.361503175303262,0.0,1.0
20,108,108,20.524629716513765,7.082020180905919,6.257363662118416,0.0,1.0
21,122,122,23.990993018214148,8.265856070309605,7.321466656346936,0.0,1.0
22,107,106,21.03414597743393,7.257614025978903,6.396465039379174,0.0,1.0
23,1,1,0.0,0.0,0.0,0.0,0.0
24,117,116,23.4008171865856,8.064124057724714,7.101467031536512,0.0,1.0
25,1,1,0.0,0.0,0.0,0.0,0.0
26,1,1,0.0,0.0,0.0,0.0,0.0
27,104,104,21.058694285258998,7.267345007758153,6.2763062385450885,0.0,1.0
28,116,116,23.5141783824143,8.102673385176487,7.101467031536512,0.0,1.0
29,102,102,20.649952058055728,7.128399584037856,6.267689606226524,0.0,1.0
30,1,1,0.0,0.0,0.0,0.0,0.0
31,118,118,23.636442752664795,8.14455851473917,7.111344528287179,0.0,1.0
32,104,104,20.657405572820608,7.129560896073845,6.253869362242867,0.0,1.0
33,120,120,23.379026605057792,8.056325501005574,7.061145091272379,0.0,1.0
34,108,108,20.699581855680083,7.141891465650437,6.313415082188086,0.0,1.0
35,128,128,23.973997956119042,8.261941656856198,7.281285751335753,0.0,1.0
36,1,1,0.0,0.0,0.0,0.0,0.0
37,1,1,0.0,0.0,0.0,0.0,0.0
38,138,138,24.486777656523127,8.445824176779535,7.454078212629644,0.0,1.0
39,113,112,20.379290321304122,7.031912397072894,6.214649998525185,0.0,1.0
40,1,1,0.0,0.0,0.0,0.0,0.0
41,152,152,25.35188564978945,8.763231144139654,7.724430399712331,0.0,1.0
42,120,120,20.5126971654144,7.079898280478326,6.2386031289063455,0.0,1.0
43,170,170,26.544150862289793,9.216800030855428,8.153679966738943,0.0,1.0
44,128,128,20.44708160105006,7.065808552862624,6.230666328698577,0.0,1.0
45,1,1,0.0,0.0,0.0,0.0,0.0
46,138,138,20.548383999721242,7.11837303295074,6.288479068900527,0.0,1.0
47,168,168,23.78546087423996,8.296418775192565,7.358636898230541,0.0,1.0
48,150,150,20.89041179584548,7.268304403772163,6.445936704622535,0.0,1.0
49,1,1,0.0,0.0,0.0,0.0,0.0
50,162,162,21.3732734975249,7.478902910202617,6.6397476608678465,0.0,1.0
51,1,1,0.0,0.0,0.0,0.0,0.0
52,162,162,21.14816540506528,7.405725653182319,6.573708846610109,0.0,1.0
53,176,176,22.287604559485526,7.855422164286391,7.047199872758785,0.0,1.0
54,152,152,19.143764781254493,6.705162393932178,6.007897885284004,0.0,1.0
55,1,1,0.0,0.0,0.0,0.0,0.0
56,166,166,20.877974279129667,7.340824273221128,6.549597010503776,0.0,1.0
57,1,1,0.0,0.0,0.0,0.0,0.0
58,142,142,18.351955536127473,6.402504929152763,5.726814908830213,0.0,1.0
59,162,162,21.295343810326237,7.453629616996479,6.6120094525038295,0.0,1.0
60,2,2,0.5236458727040629,0.5236458727040629,0.5236458727040629,0.5236458727040629,0.10472917454081258
61,138,138,19.095168944002562,6.634038264210606,5.869498104608265,0.0,1.0
62,162,162,22.92184977265142,7.985680929508202,7.071018314217548,0.0,1.0
63,1,1,0.0,0.0,0.0,0.0,0.0
64,138,138,20.653281313147314,7.153481069242773,6.320569990119564,0.0,1.0
65,140,140,22.64603022606832,7.82708939317349,6.908612595883489,0.0,1.0
66,132,132,21.281598906097255,7.353202914248432,6.487837313003462,0.0,1.0
67,1,1,0.0,0.0,0.0,0.0,0.0
68,1,1,0.0,0.0,0.0,0.0,0.0
69,1,1,0.0,0.0,0.0,0.0,0.0
70,142,142,24.65875236097723,8.510036813389478,7.490050066588337,0.0,1.0
71,116,116,20.614516850996043,7.1126941009152675,6.259336706073574,0.0,1.0
72,1,1,0.0,0.0,0.0,0.0,0.0
73,130,130,24.300811200451722,8.374725005108768,7.361503175303262,0.0,1.0
74,108,108,20.524629716513765,7.082020180905919,6.257363662118416,0.0,1.0
75,122,122,23.990993018214148,8.265856070309605,7.321466656346936,0.0,1.0
76,106,106,21.03414597743393,7.257614025978903,6.396465039379174,0.0,1.0
77,116,116,23.4008171865856,8.064124057724714,7.101467031536512,0.0,1.0
78,1,1,0.0,0.0,0.0,0.0,0.0
79,104,104,21.058694285258998,7.267345007758153,6.2763062385450885,0.0,1.0
80,1,1,0.0,0.0,0.0,0.0,0.0
81,117,116,23.5141783824143,8.102673385176487,7.101467031536512,0.0,1.0
82,1,1,0.0,0.0,0.0,0.0,0.0
83,102,102,20.649952058055728,7.128399584037856,6.267689606226524,0.0,1.0
84,118,118,23.636442752664795,8.14455851473917,7.111344528287179,0.0,1.0
85,104,104,20.657405572820608,7.129560896073845,6.253869362242867,0.0,1.0
86,121,120,23.379026605057792,8.056325501005574,7.061145091272379,0.0,1.0
87,108,108,20.699581855680083,7.141891465650437,6.313415082188086,0.0,1.0
88,128,128,23.973997956119042,8.261941656856198,7.281285751335753,0.0,1.0
89,1,1,0.0,0.0,0.0,0.0,0.0
90,138,138,24.486777656523127,8.445824176779535,7.454078212629644,0.0,1.0
91,112,112,20.379290321304122,7.031912397072894,6.214649998525185,0.0,1.0
92,1,1,0.0,0.0,0.0,0.0,0.0
93,152,152,25.35188564978945,8.763231144139654,7.724430399712331,0.0,1.0
94,120,120,20.5126971654144,7.079898280478326,6.2386031289063455,0.0,1.0
95,170,170,26.544150862289793,9.216800030855428,8.153679966738943,0.0,1.0
96,1,1,0.0,0.0,0.0,0.0,0.0
97,128,128,20.44708160105006,7.065808552862624,6.230666328698577,0.0,1.0
98,1,1,0.0,0.0,0.0,0.0,0.0
99,1,1,0.0,0.0,0.0,0.0,0.0
100,139,138,20.548383999721242,7.11837303295074,6.288479068900527,0.0,1.0
101,166,166,23.574441435588668,8.217960333140518,7.276824376058561,0.0,1.0
102,1,1,0.0,0.0,0.0,0.0,0.0
103,1,1,0.0,0.0,0.0,0.0,0.0
