timestamp,cone_type,rel_x_sensor,rel_y_sensor,confidence,global_x,global_y,cluster_id
1.7,right,-7.716,-5.829,0.3,31.63188531282357,10.22927770335522,7
22.8,right,-2.058,-4.184,0.27,-28.55423837845114,12.490637221555982,27
44.1,unknown,-15.451,-6.401,0.46,12.037555267619837,-19.410217915963823,57
64.4,unknown,-2.887,-3.929,0.36,30.955794662746932,10.933174532291853,7
67.6,unknown,-9.181,1.841,0.29,21.117100373905966,24.22474477936944,12
71.7,unknown,-15.511,1.581,0.48,-1.2357419381947288,28.46897052114822,18
72.3,left,-12.098,3.602,0.3,-0.10000136554487815,29.7121185130484,18
75.5,left,-4.622,-2.905,0.45,-6.6172694840399995,21.91102133628,19
80.0,unknown,-13.288,1.869,0.36,-33.13355370867706,18.898933143745396,29
82.1,right,-10.468,-4.716,0.31,-33.80123381448044,9.09729910889448,30
82.8,right,-9.179,-3.74,0.37,-34.72845348551783,8.915047086813265,30
84.9,unknown,-3.184,-2.822,0.46,-34.568699496703545,8.473670938225245,30
109.0,left,-8.855,-4.35,0.54,23.633726279911386,-16.274372682171318,61
113.3,unknown,-16.332,-1.351,0.41,42.87963236452353,-5.338365755168771,70
